Shareholder - Name	Issuer - Name	Issuer - Country Code	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
ap2	Boule Diagnostics International	SE	SE0011231158	2025-12-31	4 762	969 948	x1_000	2,50%	2,50%	https://ap2.se/en/asset-management/holdings/
ap2	BRAVIDA HOLDING AB	SE	SE0007491303	2025-12-31	87 058	970 000	x1_000	0,47%	0,47%	https://ap2.se/en/asset-management/holdings/
ap2	BTS GROUP B	SE	SE0000805426	2025-12-31	41 389	281 941	x1_000	1,45%	1,04%	https://ap2.se/en/asset-management/holdings/
ap2	BUFAB HOLDING AB	SE	SE0025010671	2025-12-31	973 580	9 681 588	x1_000	5,08%	5,08%	https://ap2.se/en/asset-management/holdings/
ap2	BURE EQUITY	SE	SE0000195810	2025-12-31	71 259	288 733	x1_000	0,39%	0,39%	https://ap2.se/en/asset-management/holdings/
ap2	CAMURUS AB	SE	SE0007692850	2025-12-31	285 905	464 131	x1_000	0,78%	0,78%	https://ap2.se/en/asset-management/holdings/
ap2	CARASENT AB	SE	SE0023261599	2025-12-31	86 468	3 150 000	x1_000	4,36%	4,36%	https://ap2.se/en/asset-management/holdings/
ap2	CATENA AB	SE	SE0001664707	2025-12-31	103 771	230 194	x1_000	0,38%	0,38%	https://ap2.se/en/asset-management/holdings/
ap2	Cellavision AB	SE	SE0000683484	2025-12-31	15 720	100 000	x1_000	0,42%	0,42%	https://ap2.se/en/asset-management/holdings/
ap2	COFFEE STAIN GROUP AB	SE	SE0026599557	2025-12-31	52 049	2 248 330	x1_000	1,01%	0,74%	https://ap2.se/en/asset-management/holdings/
ap2	CTT SYSTEMS	SE	SE0000418923	2025-12-31	92 382	463 764	x1_000	3,70%	3,70%	https://ap2.se/en/asset-management/holdings/
ap2	DYNAVOX GROUP AB	SE	SE0017105620	2025-12-31	147 164	1 442 782	x1_000	1,37%	1,37%	https://ap2.se/en/asset-management/holdings/
ap2	ELECTROLUX PROFESSIONAL AB	SE	SE0013747870	2025-12-31	618 352	9 483 932	x1_000	3,30%	2,64%	https://ap2.se/en/asset-management/holdings/
ap2	ELEKTA B	SE	SE0000163628	2025-12-31	92 383	1 627 895	x1_000	0,42%	0,31%	https://ap2.se/en/asset-management/holdings/
ap2	EMBRACER GROUP AB	SE	SE0023615885	2025-12-31	57 942	954 885	x1_000	0,42%	0,31%	https://ap2.se/en/asset-management/holdings/
ap2	ENGCON AB	SE	SE0017769847	2025-12-31	302 150	3 631 614	x1_000	2,38%	0,77%	https://ap2.se/en/asset-management/holdings/
ap2	ENITY HOLDING AB	SE	SE0025011554	2025-12-31	172 029	1 650 000	x1_000	3,30%	3,30%	https://ap2.se/en/asset-management/holdings/
ap2	EOLUS VIND AB	SE	SE0007075056	2025-12-31	16 996	394 334	x1_000	1,58%	1,08%	https://ap2.se/en/asset-management/holdings/
ap2	EPIROC AB	SE	SE0015658109	2025-12-31	1 610 905	7 674 631	x1_000	0,63%	0,89%	https://ap2.se/en/asset-management/holdings/
ap2	EQT AB	SE	SE0012853455	2025-12-31	244 292	671 500	x1_000	0,05%	0,05%	https://ap2.se/en/asset-management/holdings/
