Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	PRUDENTIAL FINANCIAL INC	Corporates	2025-08-26	75,185	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRUDENTIAL FINANCIAL INC	Corporates	2025-08-26	108,940	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRUDENTIAL FINANCIAL INC	Corporates	2025-08-26	114,154	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	2025-08-26	49,678	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	2025-08-26	54,453	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	2025-08-26	121,494	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	2025-08-26	142,319	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RIKSHEM INTRESSENTER AB	Corporates	2025-08-26	153,030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ROYAL BANK OF CANADA	Corporates	2025-08-26	158,738	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAMPO OYJ	Corporates	2025-08-26	92,854	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAMPO OYJ	Corporates	2025-08-26	133,659	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SBAB BANK AB	Corporates	2025-08-26	94,489	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECURITAS AB	Corporates	2025-08-26	117,025	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SES SA	Corporates	2025-08-26	277,865	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STRYKER CORP	Corporates	2025-08-26	230,840	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVEASKOG AB	Corporates	2025-08-26	107,290	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN AB	Corporates	2025-08-26	126,451	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN AB	Corporates	2025-08-26	488,202	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDBANK AB	Corporates	2025-08-26	103,918	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	2025-08-26	113,933	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	2025-08-26	117,658	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	2025-08-26	123,276	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELEFONICA SA	Corporates	2025-08-26	245,262	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELENOR ASA	Corporates	2025-08-26	121,718	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELIA CO AB	Corporates	2025-08-26	60,692	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRENUM AB	Corporates	2025-08-26	298,792	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	UNILEVER PLC	Corporates	2025-08-26	56,852	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	UPM-KYMMENE OYJ	Corporates	2025-08-26	165,267	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VASAKRONAN HOLDING AB	Corporates	2025-08-26	105,504	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VASAKRONAN HOLDING AB	Corporates	2025-08-26	222,613	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VEOLIA ENVIRONNEMENT SA	Corporates	2025-08-26	222,942	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VERIZON COMMUNICATIONS INC	Corporates	2025-08-26	47,875	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VERIZON COMMUNICATIONS INC	Corporates	2025-08-26	96,360	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VERIZON COMMUNICATIONS INC	Corporates	2025-08-26	103,976	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	2025-08-26	139,469	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	2025-08-26	145,030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	2025-08-26	223,438	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	2025-08-26	224,471	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	2025-08-26	402,838	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WILLHEM AB	Corporates	2025-08-26	103,491	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WILLHEM AB	Corporates	2025-08-26	153,748	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WILLHEM AB	Corporates	2025-08-26	157,736	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AFRICAN DEVELOPMENT BANK	Governments & Sovereigns	2025-08-26	197,211	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASIAN DEVELOPMENT BANK	Governments & Sovereigns	2025-08-26	188,127	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASIAN DEVELOPMENT BANK	Governments & Sovereigns	2025-08-26	344,873	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASIAN DEVELOPMENT BANK	Governments & Sovereigns	2025-08-26	477,316	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN BANK FOR RECONSTRUCTION & DEVELOPMENT	Governments & Sovereigns	2025-08-26	191,039	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
