Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	NORDNET AB PUBL	EQUITY	SE0015192067	2025-08-26	298,248	SEK		1160497	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NP3 FASTIGHETER AB	EQUITY	SE0006342333	2025-08-26	135,000	SEK		500000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NYFOSA AB	EQUITY	SE0011426428	2025-08-26	95,017	SEK		1008674	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PANDOX AB	EQUITY	SE0007100359	2025-08-26	166,400	SEK		1000000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PLATZER FASTIGHETER HOLD-B	EQUITY	SE0004977692	2025-08-26	76,960	SEK		963209	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PRISMA PROPERTIES AB	EQUITY	SE0022062055	2025-08-26	129,000	SEK		5000000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RATOS AB-B SHS	EQUITY	SE0000111940	2025-08-26	112,336	SEK		2800000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RUSTA AB	EQUITY	SE0020848356	2025-08-26	257,766	SEK		3478627	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RVRC HOLDING AB	EQUITY	SE0015962485	2025-08-26	190,352	SEK		4351887	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAAB AB-B	EQUITY	SE0021921269	2025-08-26	1,933,654	SEK		3665000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAGAX AB-B	EQUITY	SE0005127818	2025-08-26	1,775,387	SEK		8219384	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
