Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	REWE INT FINANCE	2024-06-04	4.831	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Roche Holding AG	2024-06-04	6.394	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	ROYAL BK CANADA	2024-06-04	7.409	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Sanofi	2024-06-04	1.772	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	SanPaolo IMI SpA	2024-06-04	12.039	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	SARTORIUS FINANCE BV	2024-06-04	13.317	x1_000	EUR	0,08%	https://www.bplpensioen.nl/beleggen
BPL Pension	Schiphol Airport	2024-06-04	832	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Schneider Electric SA	2024-06-04	3.872	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Segro PLC	2024-06-04	675	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	SELP FINANCE SARL	2024-06-04	7.633	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	SERVICIOS MEDIO AMBIENTE	2024-06-04	4.758	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Siemens AG	2024-06-04	7.742	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Sirius Real Estate Ltd	2024-06-04	746	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Skandinaviska Enskilda Banken AB	2024-06-04	5.233	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Snam Spa	2024-06-04	2.894	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Societe De Autoroute Paris-Rhone	2024-06-04	4.805	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Societe Generale	2024-06-04	9.077	x1_000	EUR	0,06%	https://www.bplpensioen.nl/beleggen
BPL Pension	Societe Generale SA	2024-06-04	16.130	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
BPL Pension	SOGECAP SA	2024-06-04	1.630	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
