Shareholder	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
Pensioenfonds Zorg & Welzjin	CVC Capital Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	CVC Capital Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	CVC Capital Partners	Fonds	2025-12-31	100	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	CVC Capital Partners	Fonds	2025-12-31	100	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	CVC Capital Partners	Fonds	2025-12-31	300	x1_000_000	EUR	0.02	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Baring Ventures Partners	Fonds	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Deutsche Beteiligungs AG	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Deutsche Beteiligungs AG	Fonds	2025-12-31	100	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Deutsche Beteiligungs AG	Fonds	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Insight Venture Partners	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	GHO Capital Partners	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.5	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Deutsche Private Equity	Fonds	2025-12-31	50	x1_000_000	EUR	0.05	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
Pensioenfonds Zorg & Welzjin	Clearlake	Co-Investering	2025-12-31	50	x1_000_000	EUR	0.1	https://www.pfzw.nl/over-pfzw/beleggen-voor-een-goed-pensioen/soorten-beleggingen.html
