,Company,Market Value (x €1.000)
720,MetLife  Inc,18.345
721,Metro   AG,1 5
722,Metro   Inc,3.155
723, Trust  Co,457
724,Toledo    International  I,5.495
725,MGIC   INVESTMENT     CORP,5.232
726,MGM    RESORTS    INTL,2.734
727,Michelin,33.549
728,MICROCHIP     TECHNOLOGY      INC,2.499
729,MicroStrategy    Inc,1.152
730,Military Commercial    Joint Stoc,1.033
731,Minebea    Co Ltd,807
732,MISUMI    Group   Inc,4.486
733,Mitsubishi  Estate  Co Ltd,4.123
734,Mitsubishi  Heavy   Industries  Lt,5.314
735,Mitsubishi  Rayon   Co  Ltd,735
736, Finance,699
737, Co  Ltd,6.244
738,Mitsui  Chemicals   Inc,3.778
739,Mitsui  Fudosan   Co Ltd,12.761
740,Mitsui  OSK  Lines Ltd,1.619
741,Mitsui  Sumitomo    Insurance  Group   Holdings  Inc,18.628
742,Mixi  Inc,458
743,Mizuho   Bank  Ltd,31.814
744,Moderna    Inc,253
745, Gas  PLC,4.592
746,Molson   Coors  Brewing   Co,7.329
747,"MONDAY,COM        LTD",2.246
748,Money    Forward  Inc,3.571
749,MONGODB      INC,185
750,Monster   Beverage   Corp,1.730
751,Montage    Technology   Co  Ltd,7 9
752,s   Corp,9.702
753,MORGAN      STANLEY,4.304
754,Motorola   Inc,36.897
755,MTU   Aero  Engines  Holding   AG,16.414
756,MUELLER    INDUSTRIES    INC,2.874
757,Muenchener     Rueckversicherungs,7.533
758,MURATA     MANUFACTURING        CO  LTD,19.225
759,Nakanishi   Inc,2.583
