Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PensionDanmark	Industria de Diseno Textil	Spain	Apparel Retail	2025-12-31	25.76	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	ISS	Denmark	Diversified Support Services	2025-12-31	25.64	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Verizon Communications	United states	Integrated Telecommunication Services	2025-12-31	25.25	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Boeing	United states	Aerospace & Defense	2025-12-31	24.97	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	AL Sydbank	Denmark	Diversified Banks	2025-12-31	24.91	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Royal Bank of Canada	Canada	Diversified Banks	2025-12-31	24.84	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	KLA Corp	United states	Semiconductor Materials & Equipment	2025-12-31	24.82	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	ICICI Bank	India	Diversified Banks	2025-12-31	24.63	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Charles Schwab	United states	Investment Banking & Brokerage	2025-12-31	24.51	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Honeywell International	United states	Industrial Conglomerates	2025-12-31	24.38	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Danaher	United states	Life Sciences Tools & Services	2025-12-31	24.26	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Volvo	Sweden	Construction Machinery & Heavy Transportation Equipment	2025-12-31	24.24	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Blackrock	United states	Asset Management & Custody Banks	2025-12-31	24.13	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Mitsubishi UFJ Financial	Japan	Diversified Banks	2025-12-31	24.05	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Sony Group	Japan	Consumer Electronics	2025-12-31	23.82	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Progressive	United states	Property & Casualty Insurance	2025-12-31	23.63	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Eaton	Ireland	Electrical Components & Equipment	2025-12-31	23.20	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Gilead Sciences	United states	Biotechnology	2025-12-31	23.05	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Palo Alto Networks	United states	Systems Software	2025-12-31	22.93	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Arista Networks	United states	Communications Equipment	2025-12-31	22.62	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	NU Holdings	Brazil	Diversified Banks	2025-12-31	22.48	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Capital One Financial	United states	Consumer Finance	2025-12-31	22.03	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Danone	France	Packaged Foods & Meats	2025-12-31	21.75	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
