Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Bond - Maturity Date	Data Source URL
AP3	VOLKSWAGEN AG	Corporates	XS2342732646	2025-08-26	139,469	EUR	3/28/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	XS2187689380	2025-08-26	145,030	EUR	6/17/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	9	2025-08-26	223,438	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	9	2025-08-26	224,471	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLKSWAGEN AG	Corporates	XS2941605235	2025-08-26	402,838	EUR	11/19/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WILLHEM AB	Corporates	SE0022419941	2025-08-26	103,491	SEK	8/22/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WILLHEM AB	Corporates	SE0013885241	2025-08-26	153,748	SEK	10/24/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WILLHEM AB	Corporates	SE0019177064	2025-08-26	157,736	SEK	2/14/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AFRICAN DEVELOPMENT BANK	Governments & Sovereigns	XS2333243298	2025-08-26	197,211	SEK	4/22/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASIAN DEVELOPMENT BANK	Governments & Sovereigns	XS2241828644	2025-08-26	188,127	SEK	10/13/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASIAN DEVELOPMENT BANK	Governments & Sovereigns	7	2025-08-26	344,873	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASIAN DEVELOPMENT BANK	Governments & Sovereigns	XS2285999210	2025-08-26	477,316	SEK	1/21/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN BANK FOR RECONSTRUCTION & DEVELOPMENT	Governments & Sovereigns	2	2025-08-26	191,039	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN BANK FOR RECONSTRUCTION & DEVELOPMENT	Governments & Sovereigns	XS2051210214	2025-08-26	195,300	SEK	9/10/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN BANK FOR RECONSTRUCTION & DEVELOPMENT	Governments & Sovereigns	XS2980858794	2025-08-26	306,731	SEK	1/21/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	EU000A4D7ZW2	2025-08-26	445,295	EUR	5/14/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	XS1107718279	2025-08-26	447,112	EUR	11/13/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	EU000A3LS460	2025-08-26	451,927	EUR	1/16/2034	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	6	2025-08-26	151,396	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	11	2025-08-26	209,621	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
